episode,reward,steps,epsilon,loss,buffer_size,avg_reward_100
0,-64.66431095406409,1000,0.8862885999999182,0.2006540859118104,1000,-64.66431095406409
1,-80.19801980197987,1000,0.8838135999999164,0.09558905445691199,2000,-72.43116537802197
2,-42.69340974212057,1000,0.8813385999999146,0.10102703507617115,3000,-62.51858016605484
3,-26.751592356687862,1000,0.8788635999999128,0.1134535348713398,4000,-53.576833213713094
4,-50.98039215686334,1000,0.876388599999911,0.15514466121234,5000,-53.05754500234315
5,-35.153583617748076,1000,0.8739135999999093,0.17292702406644822,6000,-50.073551438243975
6,-19.708029197080332,1000,0.8714385999999075,0.1478124728128314,7000,-45.735619689506315
7,-35.77981651376155,1000,0.8689635999999057,0.162217545889318,8000,-44.49114429253821
8,-10.652920962199099,1000,0.8664885999999039,0.16813916546851396,9000,-40.73134170027831
9,-56.22895622895672,1000,0.8640135999999021,0.1962768600359559,10000,-42.28110315314615
10,-30.00000000000042,1000,0.8615385999999003,0.18354929339140655,11000,-41.1646392301329
11,-50.000000000000355,1000,0.8590635999998986,0.18525093196704984,12000,-41.90091929428852
12,-59.45945945945999,1000,0.8565885999998968,0.2011336892321706,13000,-43.25157623007094
13,-54.9839228295824,1000,0.854113599999895,0.20384887816011907,14000,-44.089600987178905
14,-43.92523364485999,1000,0.8516385999998932,0.17880160586163402,15000,-44.07864316435764
15,-72.41379310344836,1000,0.8491635999998914,0.17755403475835918,16000,-45.84959003555082
16,-0.34364261168369253,1000,0.8466885999998897,0.17916290740668775,17000,-43.17276959885275
17,-24.91467576791812,1000,0.8442135999998879,0.19277766263112425,18000,-42.158431052689714
18,-70.49180327868872,1000,0.8417385999998861,0.1903042378872633,19000,-43.649661169847555
19,-51.61290322580687,1000,0.8392635999998843,0.18353532489575447,20000,-44.04782327264552
20,-59.85401459854066,1000,0.8367885999998825,0.19498705546557904,21000,-44.8004990500691
21,-18.21561338289989,1000,0.8343135999998808,0.179650973174721,22000,-43.592095156106865
22,-28.825622775801452,1000,0.831838599999879,0.2011133415028453,23000,-42.95007461783271
23,-27.797833935018105,1000,0.8293635999998772,0.20682081188261509,24000,-42.31873125604877
24,-50.17793594306097,1000,0.8268885999998754,0.1871879735328257,25000,-42.63309944352926
25,-29.48717948717953,1000,0.8244135999998736,0.20571220146119595,26000,-42.12748713751581
26,-51.92307692307738,1000,0.8219385999998718,0.1925284819416702,27000,-42.49028675920327
27,-133.36296296296305,705,0.8201961999998706,0.19997175578662957,27705,-45.73573948076613
28,-21.487603305785445,1000,0.8177211999998688,0.2036161168888211,28705,-44.89959685404265
29,-38.11074918566785,1000,0.815246199999867,2.428872088957578,29705,-44.67330193176349
30,-46.2365591397852,1000,0.8127711999998652,0.2159082139097154,30705,-44.723729583635155
31,-13.857677902622456,1000,0.8102961999998635,0.19461684349179267,31705,-43.75916546860351
32,-51.3888888888893,1000,0.8078211999998617,0.20220622193068266,32705,-43.99036920861217
33,-76.51006711409381,1000,0.8053461999998599,0.21128308192640544,33705,-44.94683091171458
34,-29.328621908127317,1000,0.8028711999998581,0.8875336493551731,34705,-44.50059636875494
35,-68.42105263157929,1000,0.8003961999998563,0.856403821375221,35705,-45.16505348716672
36,-56.52173913043518,1000,0.7979211999998546,0.19462527357414364,36705,-45.471990936984795
37,-58.76288659793884,1000,0.7954461999998528,0.21178936887532473,37705,-45.82175134911516
38,-32.384341637010785,1000,0.792971199999851,1.4364739186428488,38705,-45.477202382138124
39,-74.72924187725629,1000,0.7904961999998492,0.2159362140148878,39705,-46.20850336951609
40,-49.416342412451925,1000,0.7880211999998474,0.19903101667016745,40705,-46.28674334617306
41,-34.54545454545458,1000,0.7855461999998457,0.8224494152739644,41705,-46.007188850917856
42,-24.398625429553128,1000,0.7830711999998439,0.20445466428995132,42705,-45.50466412018844
43,-2.6217228464416857,1000,0.7805961999998421,0.8251520311608911,43705,-44.53005181851238
44,-42.02898550724698,1000,0.7781211999998403,1.353295952361077,44705,-44.474472567150926
45,-29.36802973977737,1000,0.7756461999998385,0.7218440567478538,45705,-44.146071636121064
46,-33.08550185873612,1000,0.7731711999998367,0.7449893675670027,46705,-43.910740364261805
47,-33.77483443708625,1000,0.770696199999835,0.23093859376758338,47705,-43.69957565744565
48,-56.08108108108166,1000,0.7682211999998332,0.21570703264325858,48705,-43.952259441601484
49,-41.580756013745855,1000,0.7657461999998314,0.2080721164122224,49705,-43.90482937304438
50,-68.85813148788955,1000,0.7650234999998309,0.215922116689384,50705,-44.394109806668794
51,-33.54430379746866,1000,0.7650234999998309,0.22180397754907608,51705,-44.185459691107255
52,-21.05263157894726,1000,0.7650234999998309,0.749078835234046,52705,-43.74899123616084
53,-63.21070234113764,1000,0.7650234999998309,0.22458514679968358,53705,-44.10939329366041
54,-47.183098591549815,1000,0.7650234999998309,0.23472251886874437,54705,-44.16527884453112
55,-32.25806451612913,1000,0.7650234999998309,0.23774196986854076,55705,-43.952650017238234
56,-36.17021276595751,1000,0.7650234999998309,0.24023256257176398,56705,-43.81611603037366
57,-58.490566037736286,1000,0.7650234999998309,0.21644792537391186,57705,-44.06912378912129
58,-70.37037037037058,1000,0.7650234999998309,0.2257067894935608,58705,-44.51490762948144
59,-40.59405940594077,1000,0.7650234999998309,0.8183329273760319,59705,-44.449560159089096
60,0.35842293906797285,1000,0.7650234999998309,0.24451723451912402,60705,-43.71500305911931
61,-17.26618705036014,1000,0.7650234999998309,0.2170437957420945,61705,-43.28840925252642
62,-56.37583892617497,1000,0.7650234999998309,0.8351685210317373,62705,-43.49614623147322
63,-42.857142857143174,1000,0.7650234999998309,0.8150155787169934,63705,-43.48616180374932
64,-50.819672131147904,1000,0.7650234999998309,0.7951303773522377,64705,-43.59898503955545
65,-47.214076246334564,1000,0.7650234999998309,0.2604310220927,65705,-43.653759148749074
66,-71.11913357400739,1000,0.7650234999998309,0.24545616021752356,66705,-44.06369011032009
67,-40.98360655737723,1000,0.7650234999998309,0.23937531597167253,67705,-44.01839476395328
68,-24.73118279569888,1000,0.7650234999998309,0.22385880479961634,68705,-43.73886995281916
69,-59.7701149425294,1000,0.7650234999998309,1.320240787446499,69705,-43.967887738386445
70,-34.54545454545456,1000,0.7650234999998309,1.2546132291480898,70705,-43.83517741172543
71,2.236421725239281,1000,0.7650234999998309,0.7169004510566592,71705,-43.19529409037872
72,-19.014084507042476,1000,0.7650234999998309,0.22828796752542257,72705,-42.86404464403164
73,-26.829268292682908,1000,0.7650234999998309,0.6936239321827888,73705,-42.64735847712152
74,-14.191419141914354,1000,0.7650234999998309,0.23585717318207025,74705,-42.26794595265209
